epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3713,0.77273,3.08554,0.01065,0.53436,0.6718,0.67403,0.52317,0.8048,2.3502,0.01544,0.000546249,0.000546249,0.000546249
2,66.7566,1.02895,1.7096,0.01444,0.64868,0.67579,0.67711,0.43712,1.05349,1.37446,0.02172,0.00109101,0.00109101,0.00109101
3,88.7605,1.12042,1.55491,0.01583,0.69923,0.54767,0.63323,0.3788,1.22941,1.49876,0.02529,0.00162476,0.00162476,0.00162476
4,112.971,1.21442,1.50558,0.01763,0.81765,0.69064,0.78556,0.55575,0.98898,1.05938,0.01925,0.00161749,0.00161749,0.00161749
5,134.454,1.13952,1.41052,0.01704,0.84894,0.6218,0.78703,0.54859,1.0351,0.87441,0.02038,0.00160099,0.00160099,0.00160099
6,154.388,1.10316,1.24263,0.01595,0.59853,0.80444,0.68716,0.50433,0.93251,1.12173,0.01832,0.00158448,0.00158448,0.00158448
7,174.314,1.07287,1.1622,0.01539,0.6194,0.66116,0.66618,0.4709,0.9919,1.3408,0.01964,0.00156798,0.00156798,0.00156798
8,194.211,1.09033,1.19369,0.0157,0.60933,0.82638,0.74548,0.53975,0.92592,0.94476,0.01741,0.00155148,0.00155148,0.00155148
9,214.182,1.07808,1.12288,0.01534,0.87698,0.67904,0.82441,0.57957,0.99095,0.98578,0.01895,0.00153497,0.00153497,0.00153497
10,233.854,1.05102,1.08342,0.01525,0.75667,0.68418,0.79368,0.55513,1.04028,1.19359,0.02018,0.00151847,0.00151847,0.00151847
11,253.741,1.04317,1.0859,0.01494,0.85059,0.83856,0.8922,0.61331,0.99031,0.6822,0.01823,0.00150197,0.00150197,0.00150197
12,273.523,1.03957,1.04563,0.01455,0.7815,0.88293,0.9132,0.68789,0.92301,0.64149,0.01709,0.00148546,0.00148546,0.00148546
13,293.299,1.00698,1.03987,0.01432,0.90757,0.88787,0.91838,0.6845,0.90658,0.66837,0.01692,0.00146896,0.00146896,0.00146896
14,313.141,0.93858,0.95842,0.01331,0.74806,0.81159,0.86346,0.65107,0.77335,0.94787,0.01534,0.00145246,0.00145246,0.00145246
15,333.214,0.95046,0.92856,0.01292,0.85242,0.71648,0.85583,0.67655,0.83582,0.7232,0.01616,0.00143595,0.00143595,0.00143595
16,352.897,0.92866,0.92949,0.01285,0.7156,0.75755,0.78443,0.63532,0.71358,0.90678,0.01366,0.00141945,0.00141945,0.00141945
17,372.62,0.92819,0.93361,0.01306,0.79893,0.78935,0.85328,0.6048,0.98498,0.7789,0.02003,0.00140295,0.00140295,0.00140295
18,392.316,0.94125,0.95195,0.01346,0.71131,0.86536,0.8268,0.59435,0.95539,0.87672,0.0183,0.00138644,0.00138644,0.00138644
19,412.022,0.9455,0.94236,0.01341,0.7442,0.83857,0.83557,0.63894,0.86836,0.79618,0.01673,0.00136994,0.00136994,0.00136994
20,431.701,0.92696,0.8813,0.01331,0.81369,0.87189,0.90338,0.69574,0.80009,0.68693,0.01529,0.00135344,0.00135344,0.00135344
21,451.588,0.87084,0.83975,0.01248,0.88069,0.81796,0.92176,0.72334,0.79677,0.67409,0.01424,0.00133693,0.00133693,0.00133693
22,471.409,0.89299,0.83279,0.01283,0.87231,0.77898,0.87349,0.70795,0.78631,0.62652,0.01412,0.00132043,0.00132043,0.00132043
23,491.19,0.86942,0.82047,0.01234,0.91411,0.83438,0.91373,0.70798,0.86713,0.61164,0.01606,0.00130393,0.00130393,0.00130393
24,511.218,0.87901,0.81478,0.01247,0.94997,0.79956,0.9291,0.742,0.76462,0.58845,0.01394,0.00128742,0.00128742,0.00128742
25,531.724,0.84877,0.79324,0.01224,0.88657,0.91504,0.93964,0.78054,0.67118,0.47266,0.01162,0.00127092,0.00127092,0.00127092
26,552.41,0.82651,0.79895,0.01126,0.92661,0.86484,0.9336,0.76299,0.79186,0.45703,0.01465,0.00125442,0.00125442,0.00125442
27,572.332,0.83109,0.74663,0.01166,0.89807,0.82798,0.92269,0.75085,0.74052,0.47201,0.01332,0.00123791,0.00123791,0.00123791
28,592.564,0.85069,0.80871,0.01244,0.90167,0.8085,0.91553,0.73207,0.78547,0.57077,0.01385,0.00122141,0.00122141,0.00122141
29,612.639,0.86829,0.78976,0.01263,0.8657,0.8597,0.91459,0.72953,0.75794,0.5614,0.01379,0.00120491,0.00120491,0.00120491
30,632.49,0.84794,0.79902,0.01181,0.90889,0.86546,0.94052,0.7708,0.79551,0.45528,0.01419,0.0011884,0.0011884,0.0011884
31,652.267,0.80275,0.71681,0.01113,0.90116,0.84928,0.90737,0.73226,0.73322,0.60917,0.01281,0.0011719,0.0011719,0.0011719
32,672.853,0.79328,0.72766,0.01144,0.94901,0.87689,0.94593,0.79073,0.70618,0.4194,0.01261,0.0011554,0.0011554,0.0011554
33,695.374,0.77074,0.69771,0.01063,0.93325,0.90195,0.939,0.7832,0.70155,0.47776,0.01198,0.00113889,0.00113889,0.00113889
34,718.106,0.78001,0.68609,0.0111,0.96041,0.80963,0.93707,0.77221,0.72451,0.47791,0.01333,0.00112239,0.00112239,0.00112239
35,739.741,0.77199,0.70623,0.01113,0.90422,0.82751,0.91414,0.74263,0.75507,0.54782,0.01376,0.00110589,0.00110589,0.00110589
36,759.924,0.78019,0.69959,0.01154,0.88109,0.91505,0.93311,0.7733,0.71581,0.44322,0.01231,0.00108938,0.00108938,0.00108938
37,780.051,0.7384,0.65078,0.01011,0.81632,0.83411,0.90314,0.67774,0.79317,0.59452,0.01454,0.00107288,0.00107288,0.00107288
38,800.394,0.75856,0.68064,0.01043,0.91207,0.91433,0.94484,0.79582,0.6652,0.42889,0.01162,0.00105638,0.00105638,0.00105638
39,820.603,0.69804,0.62444,0.00981,0.965,0.91829,0.94311,0.78235,0.73241,0.52682,0.01323,0.00103987,0.00103987,0.00103987
40,840.46,0.70979,0.64339,0.0099,0.80208,0.78223,0.87852,0.71479,0.66866,0.72552,0.0113,0.00102337,0.00102337,0.00102337
41,860.883,0.7353,0.65786,0.01051,0.90955,0.858,0.91492,0.74372,0.78722,0.55118,0.01418,0.00100687,0.00100687,0.00100687
42,881.036,0.72788,0.65883,0.01053,0.94446,0.87553,0.94259,0.80215,0.63195,0.45109,0.01175,0.000990365,0.000990365,0.000990365
43,901.98,0.72145,0.67001,0.00987,0.91863,0.90645,0.95188,0.78963,0.63864,0.45841,0.01187,0.000973861,0.000973861,0.000973861
44,922.703,0.67301,0.60076,0.00933,0.89182,0.85926,0.91443,0.77336,0.66434,0.54184,0.01183,0.000957358,0.000957358,0.000957358
45,942.884,0.6776,0.62395,0.00945,0.96227,0.91537,0.9582,0.80612,0.68714,0.40026,0.01192,0.000940855,0.000940855,0.000940855
46,962.743,0.68729,0.61846,0.00929,0.93044,0.83083,0.93569,0.82058,0.63081,0.48032,0.01069,0.000924352,0.000924352,0.000924352
47,982.808,0.69741,0.59945,0.00928,0.93272,0.8269,0.9375,0.78437,0.68495,0.48192,0.0118,0.000907848,0.000907848,0.000907848
48,1003.02,0.68154,0.63108,0.00912,0.97099,0.89714,0.96818,0.82414,0.60558,0.33743,0.01002,0.000891345,0.000891345,0.000891345
49,1023.04,0.66575,0.5973,0.0091,0.96132,0.89505,0.95418,0.82849,0.59175,0.37474,0.01043,0.000874842,0.000874842,0.000874842
